School,City State,State,State_abrv,From,To,Yrs,G,W,L,W-L%,SRS,SOS,AP,CREG,CTRN,NCAA,FF,NC,Lat,Long,,,,
Wagner,Staten Island New York,New York,NY,1966,2023,51,1434,703,731,0.49,-9.51,-7.36,0,4,1,1,0,0,43,-75,,,,
West Texas A&M Buffaloes,Canyon Texas,Texas,TX,1921,1986,54,1275,707,568,0.555,-6.34,-1.64,0,4,0,1,0,0,31,-100,,,,
Western Carolina,Cullowhee North Carolina,North Carolina,NC,1977,2023,47,1363,595,768,0.437,-8.61,-3.75,0,3,1,1,0,0,35.782169,-80.793457,,,,
Armstrong Pirates,Savannah Georgia,Georgia,GA,1987,1987,1,28,6,22,0.214,-21.6,-4.78,0,0,0,0,0,0,33.247875,-83.441162,,,,
Army,West Point New York,New York,NY,1903,2023,121,2578,1281,1297,0.497,-9.09,-4.63,0,0,0,0,0,0,43,-75,,,,
Augusta State Jaguars,Augusta Georgia,Georgia,GA,1985,1991,7,197,64,133,0.325,-17.3,-7.99,0,0,0,0,0,0,33.247875,-83.441162,,,,
Baldwin-Wallace Yellow Jackets,Berea Ohio,Ohio,OH,1948,1953,6,139,82,57,0.59,-4.46,1.83,0,0,0,0,0,0,40.367474,-82.996216,,,,
Baltimore Super Bees,Baltimore Maryland,Maryland,MD,1979,1983,5,133,46,87,0.346,-13.75,-6.44,0,0,0,0,0,0,39.045753,-76.641273,,,,
Bellarmine,Louisville Kentucky,Kentucky,KY,2021,2023,3,63,36,27,0.571,-3.72,0.31,0,0,1,0,0,0,37.839333,-84.27002,,,,
Bethune-Cookman,Daytona Beach Florida,Florida,FL,1981,2023,42,1223,446,777,0.365,-16.51,-9.61,0,2,0,0,0,0,27.994402,-81.760254,,,,
Birmingham-Southern Panthers,Birmingham Alabama,Alabama,AL,1920,2006,5,105,65,40,0.619,-5.44,-8.72,0,1,0,0,0,0,32.31823,-86.902298,,,,
Brooklyn Bulldogs,Brooklyn New York,New York,NY,1934,1992,25,567,233,334,0.411,-19.22,-9.63,0,0,0,0,0,0,43,-75,,,,
California Baptist,Riverside California,California,CA,2019,2023,5,128,73,55,0.57,-3.03,-4.43,0,0,0,0,0,0,36.778259,-119.417931,,,,
Carnegie Mellon Tartans,Pittsburgh Pennsylvania,Pennsylvania,PA,1933,1939,7,87,40,47,0.46,,,0,2,0,0,0,0,41.203323,-77.194527,,,,
Case Western Reserve Spartans,Cleveland Ohio,Ohio,OH,1898,1955,13,245,95,150,0.388,-18.31,-2.69,0,0,0,0,0,0,40.367474,-82.996216,,,,
Centenary (LA) Gents,Shreveport Louisiana,Louisiana,LA,1960,2011,52,1435,637,798,0.444,-8.73,-3.97,1,1,1,0,0,0,30.39183,-92.329102,,,,
Central Arkansas,Conway Arkansas,Arkansas,AR,2011,2023,13,368,113,255,0.307,-14,-4.67,0,0,0,0,0,0,34.799999,-92.199997,,,,
Chicago Maroons,Chicago Illinois,Illinois,IL,1896,1946,46,862,419,443,0.486,,,0,6,0,0,0,0,40,-89,,,,
Chicago State,Chicago Illinois,Illinois,IL,1985,2023,39,1102,282,820,0.256,-15.7,-2.05,0,0,1,0,0,0,40,-89,,,,
Denison Big Red,Granville Ohio,Ohio,OH,1905,1944,24,362,269,93,0.743,,,0,0,0,0,0,0,40.367474,-82.996216,,,,
Denver,Denver Colorado,Colorado,CO,1904,2023,100,2166,968,1198,0.447,-4.19,-1.01,0,4,0,0,0,0,39.113014,-105.358887,,,,
Dickinson College Red Devils,Carlisle Pennsylvania,Pennsylvania,PA,1926,1947,2,34,30,4,0.882,,,0,0,0,0,0,0,41.203323,-77.194527,,,,
Elon,Elon North Carolina,North Carolina,NC,2000,2023,24,711,299,412,0.421,-8.45,-3.41,0,2,0,0,0,0,35.782169,-80.793457,,,,
Geneva Golden Tornadoes,Beaver Falls Pennsylvania,Pennsylvania,PA,1893,1943,10,125,80,45,0.64,,,0,0,0,0,0,0,41.203323,-77.194527,,,,
Gettysburg,Gettysburg Pennsylvania,Pennsylvania,PA,1901,1973,41,724,385,339,0.532,-15.94,-9.75,0,0,0,0,0,0,41.203323,-77.194527,,,,
